	NAME	N1	N2	DIST	N	RMSD	GDT-TS-score	LGA_S3	LGA_Q
0	T0644TS024_1-D1.lga:SUMMARY(GDT)	137	141	4.0	121	1.55	75.355	81.345	7.3389999999999995
1	T0644TS024_2-D1.lga:SUMMARY(GDT)	132	141	4.0	47	2.52	29.255	24.014	1.795
2	T0644TS024_3-D1.lga:SUMMARY(GDT)	138	141	4.0	124	1.8	73.759	80.491	6.521
3	T0644TS026_1-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.46	80.851	87.147	8.257
4	T0644TS026_2-D1.lga:SUMMARY(GDT)	141	141	4.0	128	1.59	78.191	83.61	7.593
5	T0644TS026_3-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.39	81.028	87.87	8.655
6	T0644TS026_4-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.3	82.979	88.946	9.19
7	T0644TS026_5-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.32	82.801	88.618	9.081
8	T0644TS027_1-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.63	79.61	86.336	7.468
9	T0644TS027_2-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.48	81.738	87.679	8.163
10	T0644TS027_3-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.66	78.90100000000001	85.26799999999999	7.327999999999999
11	T0644TS027_4-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.56	79.78699999999999	87.088	7.775
12	T0644TS027_5-D1.lga:SUMMARY(GDT)	141	141	4.0	124	2.03	71.277	75.817	5.811
13	T0644TS028_1-D1.lga:SUMMARY(GDT)	141	141	4.0	123	1.46	78.546	82.523	7.9079999999999995
14	T0644TS028_2-D1.lga:SUMMARY(GDT)	141	141	4.0	123	1.46	78.546	82.523	7.9079999999999995
15	T0644TS035_1-D1.lga:SUMMARY(GDT)	141	141	4.0	126	1.34	83.156	88.48899999999999	8.751
16	T0644TS035_2-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.4	84.574	89.277	8.618
17	T0644TS035_3-D1.lga:SUMMARY(GDT)	141	141	4.0	127	1.42	82.624	89.042	8.349
18	T0644TS035_4-D1.lga:SUMMARY(GDT)	141	141	4.0	127	1.41	82.624	87.961	8.432
19	T0644TS035_5-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.23	83.156	86.234	9.318999999999999
20	T0644TS040_1-D1.lga:SUMMARY(GDT)	129	141	4.0	45	1.98	31.915	26.875999999999998	2.162
21	T0644TS040_2-D1.lga:SUMMARY(GDT)	129	141	4.0	49	2.4	32.27	27.8	1.963
22	T0644TS040_3-D1.lga:SUMMARY(GDT)	125	141	4.0	108	2.02	64.71600000000001	67.812	5.102
23	T0644TS040_4-D1.lga:SUMMARY(GDT)	127	141	4.0	54	2.21	34.929	29.205	2.336
24	T0644TS040_5-D1.lga:SUMMARY(GDT)	129	141	4.0	44	2.01	30.851	26.413	2.09
25	T0644TS043_1-D1.lga:SUMMARY(GDT)	141	141	4.0	120	1.69	72.163	76.57600000000001	6.712999999999999
26	T0644TS043_2-D1.lga:SUMMARY(GDT)	141	141	4.0	125	1.86	75.709	79.403	6.382000000000001
27	T0644TS043_3-D1.lga:SUMMARY(GDT)	141	141	4.0	125	1.86	75.709	79.403	6.382000000000001
28	T0644TS043_4-D1.lga:SUMMARY(GDT)	141	141	4.0	71	2.06	50.355	43.974	3.281
29	T0644TS043_5-D1.lga:SUMMARY(GDT)	141	141	4.0	123	1.63	75.709	79.727	7.115
30	T0644TS045_1-D1.lga:SUMMARY(GDT)	141	141	4.0	125	1.39	80.319	85.355	8.372
31	T0644TS045_2-D1.lga:SUMMARY(GDT)	141	141	4.0	122	1.17	82.447	84.573	9.604
32	T0644TS045_3-D1.lga:SUMMARY(GDT)	141	141	4.0	110	1.8	70.745	65.468	5.803999999999999
33	T0644TS045_4-D1.lga:SUMMARY(GDT)	141	141	4.0	128	1.38	81.56	85.667	8.67
34	T0644TS045_5-D1.lga:SUMMARY(GDT)	141	141	4.0	46	2.26	29.965	26.275	1.95
35	T0644TS068_1-D1.lga:SUMMARY(GDT)	141	141	4.0	131	1.4	84.929	88.649	8.722999999999999
36	T0644TS068_2-D1.lga:SUMMARY(GDT)	141	141	4.0	131	1.45	82.09200000000001	88.155	8.449
37	T0644TS068_3-D1.lga:SUMMARY(GDT)	141	141	4.0	131	1.85	78.191	85.227	6.728
38	T0644TS068_4-D1.lga:SUMMARY(GDT)	141	141	4.0	132	1.7	80.67399999999999	88.06	7.351
39	T0644TS068_5-D1.lga:SUMMARY(GDT)	141	141	4.0	125	1.88	73.936	79.744	6.327999999999999
40	T0644TS072_1-D1.lga:SUMMARY(GDT)	141	141	4.0	123	1.61	76.241	80.63600000000001	7.202000000000001
41	T0644TS072_2-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.65	75.0	80.471	7.082000000000001
42	T0644TS072_3-D1.lga:SUMMARY(GDT)	141	141	4.0	125	1.62	76.241	81.347	7.27
43	T0644TS072_4-D1.lga:SUMMARY(GDT)	141	141	4.0	126	1.64	77.128	82.266	7.2379999999999995
44	T0644TS072_5-D1.lga:SUMMARY(GDT)	141	141	4.0	124	1.63	75.355	81.0	7.167000000000001
45	T0644TS077_1-D1.lga:SUMMARY(GDT)	141	141	4.0	36	2.42	23.05	19.897000000000002	1.4280000000000002
46	T0644TS077_2-D1.lga:SUMMARY(GDT)	141	141	4.0	41	2.49	26.064	23.006999999999998	1.5819999999999999
47	T0644TS077_3-D1.lga:SUMMARY(GDT)	141	141	4.0	23	2.1	16.667	14.604000000000001	1.043
48	T0644TS077_4-D1.lga:SUMMARY(GDT)	141	141	4.0	48	2.67	28.723000000000003	24.948	1.7309999999999999
49	T0644TS077_5-D1.lga:SUMMARY(GDT)	141	141	4.0	37	2.3	23.936	20.910999999999998	1.544
50	T0644TS079_1-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.44	81.738	88.14	8.373
51	T0644TS079_2-D1.lga:SUMMARY(GDT)	141	141	4.0	128	1.54	81.56	86.88600000000001	7.782
52	T0644TS079_3-D1.lga:SUMMARY(GDT)	141	141	4.0	128	1.47	83.51100000000001	88.117	8.157
53	T0644TS079_4-D1.lga:SUMMARY(GDT)	141	141	4.0	129	1.32	82.801	88.618	9.081
54	T0644TS079_5-D1.lga:SUMMARY(GDT)	141	141	4.0	127	1.41	82.624	87.961	8.432
55	T0644TS081_1-D1.lga:SUMMARY(GDT)	141	141	4.0	131	1.71	81.56	87.18299999999999	7.242000000000001
56	T0644TS081_2-D1.lga:SUMMARY(GDT)	141	141	4.0	115	1.66	72.872	67.32300000000001	6.537999999999999
57	T0644TS081_3-D1.lga:SUMMARY(GDT)	141	141	4.0	120	2.21	69.32600000000001	66.806	5.193
58	T0644TS081_4-D1.lga:SUMMARY(GDT)	141	141	4.0	116	1.7	71.809	68.714	6.437
59	T0644TS081_5-D1.lga:SUMMARY(GDT)	141	141	4.0	112	1.71	70.922	65.649	6.178999999999999
60	T0644TS085_1-D1.lga:SUMMARY(GDT)	141	141	4.0	89	2.83	57.801	58.332	3.0410000000000004
61	T0644TS085_2-D1.lga:SUMMARY(GDT)	141	141	4.0	130	1.71	77.482	85.49	7.196000000000001
62	T0644TS085_3-D1.lga:SUMMARY(GDT)	141	141	4.0	131	1.59	80.319	87.265	7.74
